"last_name, first_name","player_id","year","ab","pa","hit","single","double","triple","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","babip","woba","xwoba","pull_percent","straightaway_percent","opposite_percent","batted_ball"
"Duvall, Adam","594807","2020","190","209","45","21","8","0","16",25.8,7.2,".237",".532",".301","0.833",".240",".348",".342",45.3,29.9,24.8,"137"
"Castro, Willi","650489","2020","129","140","45","33","4","2","6",27.1,5,".349",".550",".381","0.931",".448",".393",".364",39.4,38.3,22.3,"94"
"Polanco, Jorge","593871","2020","209","226","54","42","8","0","4",15.5,5.8,".258",".354",".304","0.658",".292",".289",".304",35.6,32.8,31.6,"177"
"Mazara, Nomar","608577","2020","136","149","31","24","6","0","1",29.5,6.7,".228",".294",".295","0.589",".330",".267",".291",30.4,33.7,35.9,"92"
"Díaz, Yandy","650490","2020","114","138","35","30","3","0","2",12.3,16.7,".307",".386",".428","0.814",".347",".367",".327",19.6,35.1,45.4,"97"
"Tatis Jr., Fernando","665487","2020","224","257","62","32","11","2","17",23.7,10.5,".277",".571",".366","0.937",".306",".392",".422",36.6,40.9,22.6,"164"
"Varsho, Daulton","662139","2020","101","115","19","9","5","2","3",28.7,10.4,".188",".366",".287","0.653",".246",".287",".288",35.3,44.1,20.6,"68"
"Vázquez, Christian","543877","2020","173","189","49","33","9","0","7",22.8,8.5,".283",".457",".344","0.801",".341",".346",".285",35.4,35.4,29.2,"130"
"Solak, Nick","669256","2020","209","233","56","44","10","0","2",18,7.7,".268",".344",".326","0.670",".320",".297",".318",32.7,38.6,28.7,"171"
"Goodwin, Brian","571718","2020","144","164","31","15","9","1","6",32.9,10.4,".215",".417",".299","0.716",".291",".305",".298",46.7,33.7,19.6,"92"
"Yelich, Christian","592885","2020","200","247","41","21","7","1","12",30.8,18.6,".205",".430",".356","0.786",".259",".343",".378",33.9,37.1,29,"124"
"Newman, Kevin","621028","2020","156","172","35","29","5","0","1",12.2,7,".224",".276",".281","0.557",".250",".251",".290",29.7,39.9,30.4,"138"
"DeShields, Delino","592261","2020","107","120","27","22","3","2","0",24.2,7.5,".252",".318",".310","0.628",".346",".280",".267",30.5,37.8,31.7,"82"
"Story, Trevor","596115","2020","235","259","68","40","13","4","11",24.3,9.3,".289",".519",".355","0.874",".354",".370",".335",32,37.2,30.8,"172"
"Schoop, Jonathan","570731","2020","162","177","45","31","4","2","8",22,4.5,".278",".475",".324","0.799",".316",".340",".300",42.4,35.2,22.4,"125"
"Altuve, Jose","514888","2020","192","210","42","28","9","0","5",18.6,8.1,".219",".344",".286","0.630",".250",".278",".288",38.6,36.6,24.8,"153"
"Gyorko, Jedd","576397","2020","117","135","29","17","3","0","9",28.1,11.1,".248",".504",".333","0.837",".278",".351",".357",40.7,37,22.2,"81"
"Marte, Ketel","606466","2020","181","195","52","35","14","1","2",10.8,3.6,".287",".409",".323","0.732",".311",".316",".306",36.2,40.5,23.3,"163"
"Winker, Jesse","608385","2020","149","183","38","19","7","0","12",25.1,15.3,".255",".544",".388","0.932",".283",".396",".397",44.2,34.6,21.2,"104"
"Lowe, Brandon","664040","2020","193","224","52","27","9","2","14",25.9,11.2,".269",".554",".362","0.916",".309",".385",".384",40.9,36.5,22.6,"137"
"Simmons, Andrelton","592743","2020","118","127","35","28","7","0","0",12.6,6.3,".297",".356",".346","0.702",".343",".313",".262",35.3,41.2,23.5,"102"
"Murphy, Daniel","502517","2020","123","132","29","23","3","0","3",15.9,5.3,".236",".333",".275","0.608",".260",".259",".267",35,35,30.1,"103"
"Castellanos, Nick","592206","2020","218","242","49","22","11","2","14",28.5,7.9,".225",".486",".298","0.784",".257",".329",".375",34.7,44.7,20.7,"150"
"Springer III, George","543807","2020","189","222","50","28","6","2","14",17.1,10.8,".265",".540",".359","0.899",".259",".379",".405",43.8,37.9,18.3,"153"
"Realmuto, J.T.","592663","2020","173","195","46","29","6","0","11",24.6,8.2,".266",".491",".349","0.840",".307",".361",".356",36,42.4,21.6,"125"
"Hosmer, Eric","543333","2020","143","156","41","26","6","0","9",17.9,5.8,".287",".517",".333","0.850",".296",".359",".366",35,41,23.9,"117"
"Upton, Justin","457708","2020","147","166","30","16","5","0","9",25.9,6.6,".204",".422",".289","0.711",".219",".307",".329",44.8,35.2,20,"105"
"Gardner, Brett","458731","2020","130","158","29","18","5","1","5",22.2,16.5,".223",".392",".354","0.746",".264",".332",".327",31.3,41.7,27.1,"96"
"Hernández, Teoscar","606192","2020","190","207","55","32","7","0","16",30.4,6.8,".289",".579",".340","0.919",".348",".384",".401",33.6,43.8,22.7,"128"
"O'Hearn, Ryan","656811","2020","113","132","22","14","6","0","2",28,13.6,".195",".301",".303","0.604",".267",".269",".320",39,39,22.1,"77"
"Kemp, Tony","643393","2020","93","114","23","18","5","0","0",12.3,13.2,".247",".301",".363","0.664",".284",".307",".329",36.6,34.1,29.3,"82"
"McMahon, Ryan","641857","2020","172","193","37","21","6","1","9",34.2,9.3,".215",".419",".295","0.714",".286",".308",".296",38.3,31.8,29.9,"107"
"Valaika, Pat","642162","2020","141","150","39","27","4","0","8",22.7,5.3,".277",".475",".315","0.790",".313",".337",".323",33.3,38,28.7,"108"
"Rengifo, Luis","650859","2020","90","106","14","12","1","0","1",24.5,13.2,".156",".200",".269","0.469",".206",".227",".259",45.5,31.8,22.7,"66"
"Tellez, Rowdy","642133","2020","113","127","32","19","5","0","8",15.7,8.7,".283",".540",".346","0.886",".276",".369",".368",33.7,40,26.3,"95"
"La Stella, Tommy","600303","2020","196","228","55","34","14","2","5",5.3,11.8,".281",".449",".370","0.819",".276",".355",".348",47.1,31,21.9,"187"
"Sisco, Chance","642082","2020","98","121","21","13","4","0","4",33.9,14,".214",".378",".364","0.742",".321",".335",".327",47.4,26.3,26.3,"57"
"Long Jr., Shed","643418","2020","117","128","20","12","5","0","3",28.9,8.6,".171",".291",".242","0.533",".221",".238",".248",31.3,46.3,22.5,"80"
"Braun, Ryan","460075","2020","129","141","30","14","7","1","8",19.1,5,".233",".488",".281","0.769",".232",".322",".342",44.7,37.9,17.5,"103"
"McCann, James","543510","2020","97","111","28","18","3","0","7",27,7.2,".289",".536",".360","0.896",".339",".378",".343",30.4,37.7,31.9,"69"
"Rosario, Eddie","592696","2020","210","231","54","34","7","0","13",14.7,8.2,".257",".476",".316","0.792",".248",".333",".318",38.8,36.5,24.7,"178"
"Taveras, Leody","665750","2020","119","134","27","16","6","1","4",32.1,10.4,".227",".395",".308","0.703",".319",".307",".305",40.3,39,20.8,"77"
